Placeholder,Area_Status,Deforested_Forested_Percentages_2000,Deforested_Forested_Percentages_2001,Deforested_Forested_Percentages_2002,Deforested_Forested_Percentages_2003,Deforested_Forested_Percentages_2004,Deforested_Forested_Percentages_2005,Deforested_Forested_Percentages_2006,Deforested_Forested_Percentages_2007,Deforested_Forested_Percentages_2008,Deforested_Forested_Percentages_2009,Deforested_Forested_Percentages_2010,Deforested_Forested_Percentages_2011,Deforested_Forested_Percentages_2012,Deforested_Forested_Percentages_2013,Deforested_Forested_Percentages_2014,Deforested_Forested_Percentages_2015,Deforested_Forested_Percentages_2016,Deforested_Forested_Percentages_2017,Deforested_Forested_Percentages_2018,Deforested_Forested_Percentages_2019,Deforested_Forested_Percentages_2020,Deforested_Forested_Percentages_2021
A,% Deforested,7.681667430201121,8.253705292906874,8.595860137694299,9.174285880204671,9.515376078357992,9.86004736064421,10.005194185093655,10.198040404952865,10.341154722191753,10.439715190894368,10.543727940844361,10.624415250901723,10.686487375871883,10.755947503242332,10.81727760177054,10.876994599337984,10.943696324065531,11.035949568011564,11.115830327588542,11.236409624405571,11.350843006562096,11.525783805756836
B,% Forested,92.31833256979888,91.74629470709313,91.4041398623057,90.82571411979532,90.48462392164201,90.13995263935578,89.99480581490634,89.80195959504714,89.65884527780824,89.56028480910564,89.45627205915564,89.37558474909828,89.31351262412812,89.24405249675766,89.18272239822946,89.12300540066201,89.05630367593447,88.96405043198844,88.88416967241146,88.76359037559443,88.6491569934379,88.47421619424317
